date,cash,holdings_value,total_value,AAPL_shares,MSFT_shares,GOOGL_shares,NVDA_shares
2023-08-10,7678.0451583862305,4078.760009765625,11756.805168151855,0.0,5.0,19.0,0.0
2023-08-11,7678.0451583862305,4066.6900024414062,11744.735160827637,0.0,5.0,19.0,0.0
2023-08-14,9298.24520111084,2495.270034790039,11793.515235900879,0.0,0.0,19.0,0.0
2023-08-15,7688.945274353027,4075.119903564453,11764.06517791748,0.0,5.0,19.0,0.0
2023-08-16,7688.945274353027,4047.2999114990234,11736.24518585205,0.0,5.0,19.0,0.0
2023-08-17,7688.945274353027,4052.8799896240234,11741.82526397705,0.0,5.0,19.0,0.0
2023-08-18,6159.4252853393555,5533.660026550293,11693.085311889648,0.0,5.0,31.0,0.0
2023-08-21,10138.895133972168,1609.4000244140625,11748.29515838623,0.0,5.0,0.0,0.0
2023-08-22,10138.895133972168,1612.2999572753906,11751.195091247559,0.0,5.0,0.0,0.0
2023-08-23,11773.895133972168,0.0,11773.895133972168,0.0,0.0,0.0,0.0
2023-08-24,9534.105125427246,2239.790008544922,11773.895133972168,0.0,7.0,0.0,0.0
2023-08-25,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-08-28,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-08-29,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-08-30,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-08-31,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-01,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-05,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-06,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-07,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-08,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-11,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-12,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-13,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-14,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-15,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-18,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-19,11794.965202331543,0.0,11794.965202331543,0.0,0.0,0.0,0.0
2023-09-20,9549.57527923584,2245.389923095703,11794.965202331543,0.0,7.0,0.0,0.0
2023-09-21,9549.57527923584,2236.709991455078,11786.285270690918,0.0,7.0,0.0,0.0
2023-09-22,9549.57527923584,2219.070068359375,11768.645347595215,0.0,7.0,0.0,0.0
2023-09-25,9549.57527923584,2222.780059814453,11772.355339050293,0.0,7.0,0.0,0.0
2023-09-26,9549.57527923584,2184.9801025390625,11734.555381774902,0.0,7.0,0.0,0.0
2023-09-27,7674.845359802246,4064.259979248047,11739.105339050293,11.0,7.0,0.0,0.0
2023-09-28,7674.845359802246,4073.0701293945312,11747.915489196777,11.0,7.0,0.0,0.0
2023-09-29,9558.155433654785,2210.25,11768.405433654785,0.0,7.0,0.0,0.0
2023-10-02,9558.155433654785,2252.5999145507812,11810.755348205566,0.0,7.0,0.0,0.0
2023-10-03,9558.155433654785,2193.7301025390625,11751.885536193848,0.0,7.0,0.0,0.0
2023-10-04,9558.155433654785,2232.719940185547,11790.875373840332,0.0,7.0,0.0,0.0
2023-10-05,9558.155433654785,2235.5198974609375,11793.675331115723,0.0,7.0,0.0,0.0
2023-10-06,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-09,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-10,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-11,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-12,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-13,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-16,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-17,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-18,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-19,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-20,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-23,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-24,11848.97550201416,0.0,11848.97550201416,0.0,0.0,0.0,0.0
2023-10-25,9587.995491027832,2260.980010986328,11848.97550201416,0.0,0.0,18.0,0.0
2023-10-26,6162.56551361084,5626.469955444336,11789.035469055176,11.0,0.0,31.0,0.0
2023-10-27,6162.56551361084,5637.689956665039,11800.255470275879,11.0,0.0,31.0,0.0
2023-10-30,10020.825485229492,1873.189926147461,11894.015411376953,11.0,0.0,0.0,0.0
2023-10-31,10020.825485229492,1878.4700469970703,11899.295532226562,11.0,0.0,0.0,0.0
2023-11-01,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-02,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-03,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-11-06,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
