date,cash,holdings_value,total_value,NVDA_shares
2022-07-29,4084.549045562744,4359.120025634766,8443.66907119751,240.0
2022-08-01,4084.549045562744,4425.839996337891,8510.389041900635,240.0
2022-08-02,4084.549045562744,4446.239776611328,8530.788822174072,240.0
2022-08-03,4084.549045562744,4534.319915771484,8618.868961334229,240.0
2022-08-04,4084.549045562744,4611.600036621094,8696.149082183838,240.0
2022-08-05,4084.549045562744,4557.360076904297,8641.909122467041,240.0
2022-08-08,4084.549045562744,4270.31982421875,8354.868869781494,240.0
2022-08-09,4084.549045562744,4100.640106201172,8185.189151763916,240.0
2022-08-10,4084.549045562744,4343.280029296875,8427.82907485962,240.0
2022-08-11,4084.549045562744,4306.079864501953,8390.628910064697,240.0
2022-08-12,4084.549045562744,4490.159912109375,8574.70895767212,240.0
2022-08-15,4084.549045562744,4567.679901123046,8652.228946685791,240.0
2022-08-16,4084.549045562744,4530.959930419922,8615.508975982666,240.0
2022-08-17,4084.549045562744,4400.3997802734375,8484.948825836182,240.0
2022-08-18,4084.549045562744,4505.5201721191415,8590.069217681885,240.0
2022-08-19,4084.549045562744,4283.760223388672,8368.309268951416,240.0
2022-08-22,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-23,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-24,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-25,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-26,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-29,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-30,8172.709140777588,0.0,8172.709140777588,0.0
2022-08-31,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-01,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-02,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-06,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-07,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-08,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-09,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-12,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-13,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-14,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-15,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-16,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-19,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-20,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-21,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-22,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-23,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-26,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-27,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-28,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-29,8172.709140777588,0.0,8172.709140777588,0.0
2022-09-30,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-03,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-04,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-05,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-06,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-07,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-10,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-11,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-12,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-13,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-14,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-17,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-18,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-19,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-20,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-21,8172.709140777588,0.0,8172.709140777588,0.0
2022-10-24,4090.6331481933594,4082.0759925842285,8172.709140777588,324.0
2022-10-25,4090.6331481933594,4296.563896179199,8387.197044372559,324.0
2022-10-26,4090.6331481933594,4178.303970336914,8268.937118530273,324.0
2022-10-27,4090.6331481933594,4269.023883819579,8359.65703201294,324.0
2022-10-28,4090.6331481933594,4482.215881347656,8572.849029541016,324.0
2022-10-31,4090.6331481933594,4373.02791595459,8463.66106414795,324.0
2022-11-01,4090.6331481933594,4387.93207168579,8478.56521987915,324.0
2022-11-02,4090.6331481933594,4282.955955505371,8373.58910369873,324.0
2022-11-03,4090.6331481933594,4348.403846740724,8439.036994934082,324.0
2022-11-04,4090.6331481933594,4586.544044494629,8677.177192687988,324.0
2022-11-07,4090.6331481933594,4633.523883819579,8724.15703201294,324.0
2022-11-08,4090.6331481933594,4731.048076629639,8821.681224822998,324.0
